child,parent,country
Melanogrammus aeglefinus,Pollachius virens,DEN
Melanogrammus aeglefinus,Trisopterus esmarkii,DEN
Myoxocephalus scorpius,Zoarces viviparus,DEN
Hippoglossoides platessoides,Pollachius virens,DEN
Hippoglossoides platessoides,Trisopterus esmarkii,DEN
Trisopterus esmarkii,Pollachius virens,DEN
Microstomus kitt,Eutrigla gurnardus,DEN
Buglossidium luteum,Arnoglossus laterna,ENG
Limanda limanda,Hyperoplus lanceolatus,ENG
Melanogrammus aeglefinus,Trisopterus esmarkii,ENG
Hippoglossoides platessoides,Amblyraja radiata,ENG
Callionymus lyra,Arnoglossus laterna,ENG
Pollachius virens,Micromesistius poutassou,ENG
Pollachius virens,Gadiculus argenteus,ENG
Microstomus kitt,Leucoraja naevus,ENG
Merluccius merluccius,Cepola macrophthalma,FRA
Lophius piscatorius,Argentina sphyraena,FRA
Chelidonichthys cuculus,Capros aper,FRA
Malacocephalus laevis,Argentina silus,FRA
Molva macrophthalma,Malacocephalus laevis,FRA
Helicolenus dactylopterus,Chimaera monstrosa,FRA
Microchirus variegatus,Callionymus maculatus,FRA
Melanogrammus aeglefinus,Trisopterus esmarkii,FRA
Lepidorhombus whiffiagonis,Lophius budegassa,FRA
Lepidorhombus whiffiagonis,Argentina sphyraena,FRA
Lepidorhombus whiffiagonis,Dipturus batis,FRA
Hippoglossoides platessoides,Glyptocephalus cynoglossus,FRA
Callionymus maculatus,Lophius budegassa,FRA
Phycis blennoides,Galeus melastomus,FRA
Phycis blennoides,Chimaera monstrosa,FRA
Lepidorhombus boscii,Malacocephalus laevis,FRA
Lepidorhombus boscii,Chimaera monstrosa,FRA
Arnoglossus imperialis,Leucoraja naevus,FRA
Leucoraja naevus,Capros aper,FRA
Platichthys flesus,Gadus morhua,GFR
Scophthalmus maximus,Platichthys flesus,GFR
Limanda limanda,Buglossidium luteum,GFR
Trisopterus esmarkii,Argentina silus,GFR
Arnoglossus laterna,Buglossidium luteum,GFR
Microstomus kitt,Leucoraja naevus,GFR
Argentina sphyraena,Gadiculus argenteus,GFR
Trisopterus minutus,Capros aper,IRL
Trisopterus minutus,Trisopterus esmarkii,IRL
Trisopterus minutus,Engraulis encrasicolus,IRL
Trachurus trachurus,Engraulis encrasicolus,IRL
Gadiculus argenteus,Argentina silus,IRL
Limanda limanda,Buglossidium luteum,IRL
Limanda limanda,Sardina pilchardus,IRL
Micromesistius poutassou,Gadiculus argenteus,IRL
Pleuronectes platessa,Scophthalmus rhombus,IRL
Clupea harengus,Engraulis encrasicolus,IRL
Merlangius merlangus,Sprattus sprattus,IRL
Clupea harengus,Sprattus sprattus,LAT
Melanogrammus aeglefinus,Trisopterus esmarkii,NED
Hippoglossoides platessoides,Glyptocephalus cynoglossus,NED
Melanogrammus aeglefinus,Hippoglossoides platessoides,NI
Trisopterus esmarkii,Squalus acanthias,NI
Scyliorhinus canicula,Scyliorhinus stellaris,NI
Merlangius merlangus,Scomber scombrus,NI
Merlangius merlangus,Squalus acanthias,NI
Pleuronectes platessa,Myoxocephalus scorpius,POL
Lophius piscatorius,Sebastes viviparus,SCO
Raja clavata,Capros aper,SCO
Chelidonichthys cuculus,Capros aper,SCO
Molva molva,Gadiculus argenteus,SCO
Zeus faber,Capros aper,SCO
Scyliorhinus canicula,Squalus acanthias,SCO
Scyliorhinus canicula,Zeus faber,SCO
Helicolenus dactylopterus,Gadiculus argenteus,SCO
Limanda limanda,Buglossidium luteum,SCO
Micromesistius poutassou,Gadiculus argenteus,SCO
Lepidorhombus whiffiagonis,Sebastes viviparus,SCO
Lepidorhombus whiffiagonis,Gadiculus argenteus,SCO
Callionymus lyra,Buglossidium luteum,SCO
Raja montagui,Squalus acanthias,SCO
Microstomus kitt,Sebastes viviparus,SCO
Argentina sphyraena,Sebastes viviparus,SCO
Platichthys flesus,Zoarces viviparus,SWE
Scophthalmus maximus,Osmerus eperlanus,SWE
Lycodes vahlii,Micromesistius poutassou,SWE
Eutrigla gurnardus,Hyperoplus lanceolatus,SWE
Limanda limanda,Trachinus draco,SWE
Hippoglossoides platessoides,Lumpenus lampretaeformis,SWE
Arnoglossus laterna,Buglossidium luteum,SWE
Glyptocephalus cynoglossus,Myxine glutinosa,SWE
