child,parent,survey
Platichthys flesus,Aphia minuta,NS-IBTS
Chelidonichthys cuculus,Dicentrarchus labrax,NS-IBTS
Enchelyopus cimbrius,Lycodes vahlii,NS-IBTS
Lycodes vahlii,Lycenchelys sarsii,NS-IBTS
Scophthalmus rhombus,Trachinus draco,NS-IBTS
Scophthalmus rhombus,Aphia minuta,NS-IBTS
Sprattus sprattus,Engraulis encrasicolus,NS-IBTS
Hippoglossoides platessoides,Lumpenus lampretaeformis,NS-IBTS
Hippoglossoides platessoides,Lycodes vahlii,NS-IBTS
Raja montagui,Dicentrarchus labrax,NS-IBTS
Arnoglossus laterna,Buglossidium luteum,NS-IBTS
Arnoglossus laterna,Trachinus draco,NS-IBTS
Glyptocephalus cynoglossus,Lycenchelys sarsii,NS-IBTS
